Date,Away Team,Away Score,Away ML,Home Team,Home Score,Home ML
t11092021,UC San Diego,80,700,California,67,-1100
t11092021,Southern Illinois,66,-275,Little Rock,69,235
t11092021,Akron,66,775,Ohio State,67,-1300
t11092021,Saint Peter's,54,350,Virginia Commonwealth,57,-420
t11092021,Eastern Michigan,62,1200,Indiana,68,-3000
t11092021,IUPUI,47,1200,Butler,56,-3000
t11092021,The Citadel,78,395,Pittsburgh,63,-490
t11092021,Appalachian State,53,225,Iona,65,-265
t11092021,Illinois-Chicago,54,650,Dayton,64,-1000
t11092021,Florida International,51,310,Georgia,58,-370
t11092021,Belmont,80,-170,Ohio,92,150
t11092021,Monmouth,66,175,Charlotte,68,-200
t11092021,Kansas,87,-200,Michigan State,74,175
t11092021,Toledo,69,-200,Valparaiso,61,175
t11092021,Portland,60,950,Arizona State,76,-1800
t11092021,Oakland,53,900,West Virginia,60,-1600
t11092021,Tennessee-Martin,62,2500,Tennessee,90,-7500
t11092021,Rider,61,265,Duquesne,73,-320
t11092021,Evansville,43,425,Cincinnati,65,-550
t11092021,Fairfield,73,750,Providence,80,-1200
t11092021,Siena,47,1000,St. Bonaventure,75,-2000
t11092021,Quinnipiac,69,1200,Maryland,83,-3000
t11092021,Delaware,71,240,Davidson,93,-280
t11092021,Ball State,71,125,Georgia Southern,82,-145
t11092021,Miami (OH),72,375,Georgia Tech,69,-450
t11092021,Bowling Green State,71,-400,Western Carolina,79,330
t11092021,Canisius,67,800,Miami (FL),77,-1400
t11092021,Niagara,60,850,Xavier,63,-1500
t11092021,Columbia,67,400,Fordham,77,-500
t11092021,Eastern Illinois,56,1100,Northwestern,80,-2500
t11092021,Hofstra,75,1000,Houston,83,-2000
t11092021,Elon,61,950,Florida,74,-1800
t11092021,UNC Wilmington,63,175,Illinois State,68,-200
t11092021,Tennessee Tech,65,1500,Memphis,89,-5000
t11092021,Central Michigan,68,750,Missouri,78,-1200
t11092021,UT Arlington,45,900,Oklahoma State,88,-1600
t11092021,Mercer,61,1000,Arkansas,74,-2000
t11092021,Jacksonville State,57,290,Wichita State,60,-350
t11092021,Morehead State,54,750,Auburn,77,-1200
t11092021,Western Illinois,75,900,Nebraska,74,-1600
t11092021,Kansas City,56,280,Minnesota,71,-340
t11092021,Milwaukee,75,-285,North Dakota,60,245
t11092021,Louisiana-Monroe,39,1100,Louisiana State,101,-2500
t11092021,Abilene Christian,56,400,Utah,70,-500
t11092021,Pepperdine,63,245,Rice,82,-290
t11092021,Indiana State,81,-140,Green Bay,77,120
t11092021,Dartmouth,57,550,Boston College,73,-800
t11092021,Southeast Missouri State,99,800,Missouri State,94,-1400
t11092021,St. Thomas (MN),72,-280,Chicago State,77,240
t11092021,SIU Edwardsville,77,1100,Marquette,88,-2500
t11092021,Utah Valley,56,750,Boise State,76,-1200
t11092021,Louisiana Tech,64,500,Alabama,93,-700
t11092021,Cal State Northridge,49,1100,Southern California,89,-2500
t11092021,UC Irvine,51,190,New Mexico State,62,-220
t11092021,Utah Tech,63,5000,Gonzaga,97,-15000
t11092021,Cal State Fullerton,77,270,Santa Clara,84,-330
t11092021,Bradley,65,370,South Dakota State,81,-440
t11092021,UC Davis,72,525,Utah State,69,-750
t11092021,Kentucky,71,120,Duke,79,-140
t11092021,Oral Roberts,80,500,Colorado State,109,-700
t11092021,Cleveland State,59,700,Brigham Young,69,-1100
t11092021,Eastern Washington,76,1100,Nevada,91,-2500
t11092021,Tarleton State,50,800,Stanford,62,-1400
t11092021,UC Riverside,53,600,San Diego State,66,-900
t11092021,Montana State,90,500,Colorado,94,-700
t11092021,Portland State,64,650,Oregon State,73,-1000
t11092021,Northern Illinois,71,1100,Washington,64,-2500
t11092021,Chattanooga,75,290,Loyola Marymount,64,-350
t11092021,Northern Arizona,52,1200,Arizona,81,-3000
t11092021,Cal State Bakersfield,58,1200,UCLA,95,-3000
t11092021,Alcorn State,67,1500,Washington State,85,-5000
t11092021,Mount St. Mary's,51,1200,Villanova,91,-3000
t11092021,Bethune-Cookman,54,1000,South Florida,75,-2000
t11092021,Central Connecticut State,48,1700,Connecticut,99,-4000
t11092021,Lafayette,63,1500,Syracuse,97,-5000
t11092021,Boston University,62,375,Rhode Island,71,-450
t11092021,Towson,77,-155,Albany (NY),56,135
t11092021,North Carolina A&T,53,300,UNC Greensboro,57,-360
t11092021,South Carolina Upstate,60,1100,South Carolina,78,-2500
t11092021,Loyola (MD),67,1400,North Carolina,83,-4000
t11092021,Presbyterian,53,900,Clemson,64,-1600
t11092021,South Carolina State,62,1100,East Carolina,70,-2500
t11092021,Stony Brook,52,160,George Mason,74,-180
t11092021,Hartford,59,175,Wagner,77,-200
t11092021,Texas Southern,66,1400,Oregon,83,-4000
t11092021,Northeastern,58,290,Colgate,65,-350
t11092021,North Carolina Central,60,1400,Richmond,70,-4000
t11092021,Maryland-Baltimore County,60,450,Massachusetts,77,-600
t11092021,UNC Asheville,77,900,UAB,102,-1600
t11092021,New Orleans,61,1100,Mississippi,82,-2500
t11092021,Cornell,76,135,Binghamton,69,-155
t11092021,Texas State,75,-550,Incarnate Word,57,425
t11092021,Mississippi Valley State,61,3300,St. John's (NY),119,-10000
t11092021,Tennessee State,73,-155,Alabama A&M,82,135
t11092021,Alabama State,74,1300,Western Kentucky,79,-3500
t11092021,St. Francis (NY),58,1300,Wisconsin,81,-3500
t11092021,Central Arkansas,61,1100,Saint Louis,96,-2500
t11092021,Maryland-Eastern Shore,67,1400,Saint Joseph's,69,-4000
t11092021,Nicholls State,62,600,Northern Iowa,58,-900
t11092021,Coppin State,45,1300,Loyola (IL),103,-3000
t11092021,Saint Francis (PA),72,210,George Washington,75,-250
t11092021,McNeese State,62,1400,Southern Methodist,86,-4000
t11092021,Maine,47,1400,Virginia Tech,82,-4000
t11092021,Arkansas-Pine Bluff,77,1700,Creighton,90,-4000
t11092021,North Florida,74,1100,Texas Tech,89,-2500
t11092021,Kennesaw State,73,750,Iowa State,84,-1200
t11092021,Northwestern State,59,1400,Oklahoma,77,-4000
t11092021,Bucknell,70,1200,NC State,88,-3000
t11092021,Sacred Heart,86,320,La Salle,81,-380
t11092021,Marist,73,120,American,77,-140
t11092021,Southeastern Louisiana,67,750,Tulane,70,-1200
t11092021,Jackson State,47,1200,Illinois,71,-3000
t11092021,Houston Christian,48,1800,Texas,92,-4500
t11092021,Navy,66,750,Virginia,58,-1200
t11092021,Bellarmine,67,1300,Purdue,96,-3500
t11092021,Southern,60,1400,Louisville,72,-4000
t11092021,Grambling,53,750,Grand Canyon,74,-1200
t11092021,Longwood,73,1000,Iowa,106,-2000
t11092021,Prairie View,68,900,Saint Mary's (CA),87,-1600
t11092021,Long Island University,64,1000,San Francisco,98,-2000
t11102021,Buffalo,76,650,Michigan,88,-1000
t11102021,William & Mary,59,750,Wake Forest,77,-1200
t11102021,Robert Morris,59,850,Central Florida,69,-1500
t11102021,Youngstown State,59,950,Penn State,75,-1800
t11102021,Florida Atlantic,92,-110,New Mexico,99,-110
t11102021,Detroit Mercy,47,170,Wyoming,85,-190
t11102021,Pennsylvania,70,1000,Florida State,105,-2000
t11102021,Long Beach State,95,-300,Idaho,89,250
t11102021,Pacific,65,-110,Northern Colorado,67,-110
t11102021,Lehigh,70,1500,Rutgers,73,-5000
t11102021,Maryland-Eastern Shore,49,1600,Temple,72,-3800
t11102021,Fairleigh Dickinson,49,1800,Seton Hall,93,-8000
t11102021,Florida A&M,57,800,Kansas State,67,-1400
t11102021,North Florida,46,1000,Texas A&M,64,-2000
t11102021,Alabama State,72,1400,Vanderbilt,91,-3300
t11102021,North Alabama,49,1400,Mississippi State,75,-4000
t11102021,Northwestern State,75,1100,Tulsa,82,-2500
t11102021,Coppin State,72,1800,DePaul,97,-8000
t11102021,Gardner-Webb,58,400,Nevada-Las Vegas,64,-500
t11102021,Alcorn State,66,850,Seattle,69,-1500
t11112021,Air Force,53,300,South Dakota,59,-360
t11112021,George Washington,64,850,Maryland,71,-1500
t11112021,IUPUI,40,450,Evansville,60,-600
t11112021,UC Riverside,66,360,Arizona State,65,-430
t11112021,Cal State Fullerton,76,-240,San Jose State,78,200
t11112021,Northern Arizona,62,750,Washington,73,-1200
t11112021,Northern Colorado,81,-130,Hawaii,78,110
t11112021,Vermont,71,220,Northern Iowa,57,-260
t11112021,Sacred Heart,64,850,Providence,92,-1500
t11112021,South Carolina State,74,1000,College of Charleston,106,-2000
t11112021,Merrimack,61,-165,NJIT,54,145
t11112021,McNeese State,61,1100,TCU,77,-2500
t11112021,Kennesaw State,44,900,Creighton,51,-1600
t11112021,Prairie View,76,900,San Francisco,92,-1600
t11122021,Northeastern,64,240,Georgia State,83,-280
t11122021,Eastern Washington,76,240,UC Davis,84,-280
t11122021,North Dakota State,60,-330,Cal Poly,57,270
t11122021,Utah State,85,220,Richmond,74,-260
t11122021,Illinois State,98,110,Eastern Michigan,103,-130
t11122021,Western Michigan,46,1100,Michigan State,90,-2500
t11122021,East Tennessee State,67,120,Appalachian State,69,-140
