School,3PTA,3PT%,2PTA,2PT%,Turnovers,Opp Turnovers,FTA,Opp FTA,FT%,ORB%,AdjT
Abilene Christian,21.5,0.32,38.5,0.504935065,12.6,21,22.9,24,0.754,0.291,69.9104
Air Force,21.6,0.333,28,0.515357143,13.6,12.9,13.3,19.4,0.649,0.196,63.158
Akron,22,0.354,30.9,0.534304207,11.4,11.8,20.6,14.1,0.689,0.306,62.0745
Alabama,29.9,0.309,32.9,0.558054711,14.5,13.2,20.6,21.4,0.728,0.353,71.7144
Alabama A&M,14.4,0.271,43.4,0.414746544,13.6,13.6,19.4,17.1,0.713,0.287,66.4661
Alabama State,18.7,0.332,38.1,0.471653543,15.4,14.1,21.5,20.4,0.698,0.297,69.3423
Albany (NY),18.2,0.323,38,0.450789474,12.4,13.6,14.1,16.8,0.704,0.261,65.035
Alcorn State,17.1,0.316,41.3,0.450847458,14.1,13.2,18.9,20.4,0.692,0.319,67.7171
American,15.2,0.331,39.1,0.495396419,13.3,11.5,13.9,16.2,0.694,0.216,64.8182
Appalachian State,24.9,0.335,32.9,0.482674772,10.3,12,15.8,12,0.659,0.273,64.1005
Arizona,22,0.352,39.3,0.570992366,13.4,12.8,21.4,15.6,0.739,0.346,72.1752
Arizona State,22.5,0.307,37.9,0.477572559,11.9,13.5,12.8,18.7,0.661,0.249,67.1827
Arkansas,20.7,0.304,39.9,0.501253133,12.2,14.8,22.5,18.4,0.76,0.295,70.59
Arkansas State,17.4,0.311,39.6,0.512373737,13.9,13.8,18.9,17,0.745,0.298,68.2275
Arkansas-Pine Bluff,22.7,0.301,33.2,0.480722892,13.1,13.3,19.3,19.4,0.715,0.246,67.0211
Army,21,0.321,38.3,0.500261097,13.2,13.9,18.7,13.4,0.63,0.3,68.6786
Auburn,25.4,0.318,38.3,0.512793734,12.1,14.5,20.1,20.3,0.731,0.336,70.0205
Austin Peay,25,0.315,31.5,0.482539683,14,14.3,15,18.4,0.706,0.295,64.5247
Ball State,23.7,0.361,33.8,0.49852071,14,12.4,21.5,19.5,0.694,0.271,69.8411
Baylor,23.5,0.343,37.8,0.535449735,12.4,15.9,17.8,15.4,0.697,0.363,67.2084
Bellarmine,22.9,0.34,33.1,0.568277946,9.45,11.8,12.1,15.2,0.753,0.237,61.9093
Belmont,25.8,0.332,33.6,0.608630952,11.8,14.9,15.8,13.8,0.743,0.246,68.7928
Bethune-Cookman,14.3,0.336,42.5,0.444705882,13.4,14,16.3,18.8,0.689,0.284,65.6971
Binghamton,20.8,0.354,37.5,0.4896,12.6,11.1,13.4,17.3,0.661,0.272,66.9834
Boise State,21.2,0.346,33.4,0.507784431,12.1,13.2,19.1,13.7,0.65,0.306,64.6171
Boston College,18.6,0.309,38.9,0.484318766,11.9,12.4,17,17,0.704,0.3,64.8346
Boston University,21.2,0.354,35,0.514,12.1,11.1,16.3,15.8,0.739,0.311,65.0823
Bowling Green State,24.2,0.34,41.1,0.490754258,12.3,13.2,20.5,18.6,0.739,0.307,72.6713
Bradley,23,0.338,35.1,0.513675214,13.5,12.4,16.2,17.4,0.689,0.321,67.1234
Brigham Young,22.7,0.353,37.3,0.520107239,12.6,10.7,15.9,18,0.718,0.308,67.7621
Brown,23,0.313,35.6,0.513764045,13.1,14.1,18,18.4,0.709,0.294,67.2499
Bryant,27.1,0.304,35.8,0.537709497,13.9,12.2,20.3,16.6,0.732,0.331,72.1799
Bucknell,21,0.376,34.9,0.506876791,13.5,9.56,15.8,14.6,0.765,0.214,67.5388
Buffalo,24.9,0.342,40.3,0.526054591,13.2,12.1,17,18,0.709,0.372,70.945
Butler,22.8,0.305,31.7,0.497160883,12,11.3,16.5,16.5,0.696,0.267,63.7592
Cal Poly,18.1,0.29,33.7,0.473293769,14.7,11.7,19,20,0.728,0.279,64.545
Cal State Bakersfield,13.3,0.288,44.3,0.464559819,11.7,13.9,17.5,22.8,0.706,0.336,64.2867
Cal State Fullerton,16.7,0.329,39,0.494871795,12.1,13.9,19.5,14.2,0.766,0.297,65.9926
Cal State Northridge,16.9,0.303,39.2,0.445663265,12.3,13.2,16.5,19,0.682,0.27,64.8522
California,17.8,0.308,38.4,0.472135417,11.2,9.59,14.2,17.5,0.727,0.253,63.962
California Baptist,24,0.333,31.9,0.514106583,13.9,12.3,20.4,18.8,0.673,0.287,67.5289
Campbell,19.9,0.318,34.1,0.544281525,10.4,12.2,14.9,14.3,0.68,0.222,62.3151
Canisius,24.1,0.306,36.6,0.462295082,11.8,12.9,18.1,18.1,0.693,0.285,68.1174
Central Arkansas,22.2,0.3,41,0.515121951,13.7,12.4,14.3,18.8,0.761,0.274,71.7951
Central Connecticut State,21.5,0.342,33.3,0.428228228,13.8,12.6,16,16.5,0.708,0.263,64.4898
Central Florida,25.1,0.35,33.2,0.478915663,13,14.1,16.6,17,0.703,0.308,67.2911
Central Michigan,22.7,0.341,33.8,0.454733728,13.6,11.5,17.2,21.1,0.692,0.253,67.405
Charleston Southern,26.8,0.308,32.2,0.488819876,14.6,12.5,17.9,17.6,0.676,0.276,68.8418
Charlotte,21.8,0.345,33,0.535757576,11.5,11.3,15.3,15,0.792,0.226,65.3523
Chattanooga,22.9,0.345,35.9,0.540668524,11,12.3,15.6,14.8,0.746,0.327,64.6362
Chicago State,24.5,0.31,31.5,0.454285714,14.8,12.7,16.4,21.2,0.654,0.322,65.5267
Cincinnati,25.8,0.315,35.2,0.467329545,10.5,12.5,18,19.6,0.669,0.299,67.442
Clemson,21.4,0.363,35.2,0.5125,11,11.4,16.8,16.4,0.736,0.258,66.1535
Cleveland State,19.4,0.327,38.1,0.55511811,13.5,15.4,20.8,18.9,0.671,0.338,67.588
Coastal Carolina,21,0.355,37.7,0.50265252,13.2,12.2,18,14.5,0.696,0.342,66.0402
Colgate,24.5,0.404,33.6,0.523511905,11.3,10.9,15.2,14.3,0.697,0.266,67.2561
College of Charleston,23.9,0.339,39.8,0.499246231,15.6,14.3,19.3,22.2,0.73,0.359,73.4175
Colorado,18.8,0.366,37.2,0.48172043,13.5,12.1,19.4,15.7,0.756,0.3,67.2331
Colorado State,21.8,0.357,33.4,0.560778443,10.1,12.4,16.4,14.2,0.773,0.221,65.0792
Columbia,21.4,0.356,37.4,0.464705882,15.2,11.9,15.5,15.4,0.627,0.273,69.422
Connecticut,21.1,0.352,40.1,0.480798005,11.8,12.2,18.7,18.2,0.753,0.377,64.8837
Coppin State,28.9,0.297,28.9,0.475432526,14.4,15.8,20,17.7,0.684,0.201,72.1229
Cornell,27.7,0.348,32.9,0.566869301,14.2,13.7,18.4,18.3,0.707,0.28,71.6332
Creighton,21.8,0.308,35.4,0.533615819,14.1,10.7,15.3,13.1,0.738,0.284,66.8916
Dartmouth,26.2,0.339,32.2,0.478881988,11.5,13.1,14,15.6,0.772,0.239,64.582
Davidson,22.9,0.387,32.6,0.547546012,9.79,11.1,17.6,15.3,0.754,0.238,64.6212
Dayton,18.1,0.361,35.7,0.536694678,12.4,11.1,16.4,13.1,0.683,0.301,62.9884
Delaware,21.5,0.347,33.9,0.546902655,12.6,12.7,18.8,16.5,0.744,0.269,66.6342
Delaware State,18.6,0.325,37.4,0.442780749,17.5,14.2,17.1,19.6,0.672,0.274,68.3204
Denver,19.7,0.368,35.7,0.511204482,12.9,11.7,17.6,18.6,0.697,0.232,66.2589
DePaul,20.8,0.317,39.9,0.494235589,12.3,11.8,20.3,16.1,0.693,0.317,68.6654
Detroit Mercy,27.9,0.374,29.3,0.501706485,11.6,12.6,13.1,16.4,0.776,0.279,64.6442
Drake,20.4,0.344,38.7,0.52118863,10.8,13.3,16.5,17.8,0.755,0.295,66.0678
Drexel,21,0.346,38.2,0.526701571,10.9,11,15,15.3,0.71,0.253,66.3185
Duke,21.6,0.366,38.8,0.56185567,10.3,10.7,17.3,12,0.738,0.316,67.3866
Duquesne,20.5,0.305,40.9,0.451589242,11.5,12.9,13.4,13,0.707,0.293,65.7625
East Carolina,22.5,0.333,35,0.451428571,13,12.8,19.3,17.9,0.754,0.275,67.5161
East Tennessee State,25.1,0.35,34.9,0.513467049,11.3,11.3,13.8,15.1,0.725,0.313,65.2463
Eastern Illinois,18.3,0.326,32.2,0.438819876,16,12.5,15.9,14,0.638,0.217,64.6355
Eastern Kentucky,33.2,0.353,35.3,0.478753541,11.6,17.5,14.6,16.6,0.706,0.297,70.7724
Eastern Michigan,20.5,0.308,38.1,0.495538058,13.8,12.4,17.8,18.1,0.695,0.23,69.101
Eastern Washington,25.2,0.35,33.6,0.529166667,13.3,11.5,19.6,18.6,0.752,0.267,69.305
Elon,24.9,0.342,31.4,0.489490446,13,11,14.5,23.3,0.737,0.258,65.6889
Evansville,24.8,0.33,27.9,0.459856631,11.2,11.6,12.8,15.9,0.708,0.143,63.9531
Fairfield,22.4,0.34,34.9,0.492550143,11,11.3,15,17.3,0.704,0.278,64.1276
Fairleigh Dickinson,21.2,0.324,38.6,0.452072539,13.7,12.9,16.6,20.5,0.708,0.277,69.5091
Florida,26.1,0.303,30.8,0.532142857,12.4,14.6,19.2,16.8,0.735,0.315,64.8593
Florida A&M,15.1,0.302,41.9,0.47326969,12.5,12.9,16.5,21.4,0.705,0.262,65.3883
Florida Atlantic,25,0.352,33.9,0.528318584,12.9,13.8,16.8,17.2,0.712,0.315,67.2468
Florida Gulf Coast,29.2,0.35,32,0.55,13.5,11.6,17.7,15.2,0.676,0.311,69.6685
Florida International,27.5,0.35,31.6,0.499050633,14,13.3,14.7,18.3,0.702,0.27,66.6036
Florida State,20.3,0.331,39.1,0.488235294,12.5,14.5,18,17.4,0.708,0.316,67.7213
Fordham,25,0.297,33.4,0.466766467,13.2,13.7,17.4,17.4,0.727,0.27,67.5434
Fresno State,20.6,0.337,32.6,0.517177914,11.2,12.4,16.6,14.1,0.711,0.277,60.7756
Furman,31,0.38,28.9,0.553633218,10.5,13,13.6,13.9,0.757,0.277,64.7412
Gardner-Webb,22.5,0.329,34.5,0.51826087,13.4,13.1,16.4,19.4,0.701,0.253,67.356
George Mason,26.1,0.358,30.1,0.520598007,12.2,11.6,16.3,16.8,0.694,0.25,64.7144
George Washington,21.1,0.338,37.9,0.479419525,12.6,12.7,15.3,17.8,0.698,0.232,68.7883
Georgetown,22.4,0.342,39.7,0.431989924,13.4,12.8,18,16.7,0.744,0.323,69.9192
Georgia,19.9,0.321,34,0.511470588,14.4,11,21,15,0.747,0.256,68.4919
Georgia Southern,19.3,0.304,35.8,0.523463687,14.3,13.7,16.7,18.8,0.68,0.286,65.9915
Georgia State,23.1,0.33,39.2,0.440816327,11.7,16.2,18.4,17.4,0.72,0.339,67.1142
Georgia Tech,20.2,0.353,38.1,0.487401575,13.1,13.2,14.4,18.4,0.698,0.257,67.9364
Gonzaga,22.1,0.37,40.5,0.605185185,11.6,12,19.2,14.8,0.713,0.291,72.4831
Grambling,16.2,0.315,41.4,0.442270531,14.2,13.9,19,22.5,0.71,0.279,69.1621
Grand Canyon,23.2,0.351,35.6,0.481460674,13,13,18.2,17.9,0.679,0.347,65.3309
Green Bay,18.4,0.282,34.7,0.492795389,12.9,11.8,16.8,16.6,0.714,0.273,64.5742
Hampton,19.6,0.293,36.5,0.456164384,12.6,12,20.3,21.6,0.7,0.231,69.0204
Hartford,25.1,0.369,30.5,0.515409836,12.2,11.1,15.3,16.8,0.69,0.238,67.1118
Harvard,25.7,0.33,34.5,0.507246377,12.3,15.1,15.8,16.9,0.693,0.254,67.0397
Hawaii,22.7,0.358,31.4,0.498726115,13,10.5,17.6,17.1,0.744,0.291,65.0558
High Point,19.4,0.335,37.8,0.497354497,13.3,12.4,19.6,20,0.64,0.283,66.3768
Hofstra,28,0.34,34.6,0.562716763,10.3,14.7,13.1,14.4,0.797,0.237,68.9132
Holy Cross,17,0.343,40.8,0.442647059,12.5,12.3,16.3,17,0.708,0.276,66.9776
Houston,23.2,0.338,36.5,0.544109589,11.1,14.2,17.3,18.3,0.667,0.377,63.8376
Houston Christian,21.4,0.322,37.6,0.515957447,15.1,14.7,22.6,20.4,0.711,0.319,68.7168
Howard,23.6,0.359,36,0.493055556,14.8,17.8,20.9,19.7,0.745,0.289,70.2939
Idaho,21.5,0.372,35.4,0.485875706,13.6,10.5,20,20.2,0.735,0.236,69.8997
Idaho State,22.8,0.31,30.8,0.497727273,13.8,11.2,18.2,18.8,0.684,0.288,63.8018
Illinois,24.9,0.359,33.4,0.516766467,12.4,10.6,18.7,16.9,0.706,0.331,67.0758
Illinois State,21.4,0.367,37,0.498648649,13.8,12.4,18.3,18.6,0.745,0.285,67.9168
Illinois-Chicago,27.9,0.324,32.6,0.538957055,12,12,13.8,19.3,0.705,0.246,69.1381
Incarnate Word,24.8,0.348,30.6,0.469607843,13.5,12.7,15.8,17,0.784,0.236,64.5826
Indiana,17.7,0.333,39.1,0.509207161,11.8,12.1,19,17.6,0.7,0.27,66.9603
Indiana State,26.1,0.333,30.6,0.532352941,13.2,11.4,15,15.1,0.778,0.186,69.1036
Iona,21.3,0.332,37.9,0.509498681,12.7,13.4,22,19.8,0.693,0.318,68.9014
Iowa,25.3,0.363,39.2,0.525765306,9.22,13.6,19.4,15.8,0.749,0.322,69.5965
Iowa State,21.2,0.315,35.1,0.501709402,13.8,16.6,15.2,18.8,0.683,0.284,66.0731
IUPUI,17.6,0.292,33,0.426060606,16.6,13.2,13.3,18.5,0.667,0.311,62.2724
Jackson State,17.2,0.3,39.5,0.453924051,13.2,12.1,15,19.8,0.634,0.314,63.6759
Jacksonville,17.4,0.347,37.6,0.499202128,11.4,11.5,16.3,15.3,0.708,0.336,61.3941
Jacksonville State,24,0.386,32.1,0.527102804,13.1,11.8,17.3,12.8,0.686,0.295,65.1165
James Madison,21.5,0.345,38.4,0.528385417,12.4,15.4,17.6,15.7,0.697,0.269,68.7604
Kansas,19.8,0.361,40,0.53625,12.1,12.7,19.4,16.7,0.717,0.329,69.0976
Kansas City,19.8,0.366,37.9,0.536675462,10.5,15.6,17.9,21.6,0.676,0.204,67.2643
Kansas State,24.3,0.346,33.1,0.473716012,11.5,13.5,17,17.8,0.726,0.253,66.5039
Kennesaw State,22.8,0.365,36.4,0.524175824,12.4,13.6,17.6,18.6,0.662,0.309,66.1074
Kent State,22.7,0.333,34.1,0.514369501,12.2,13.5,18.2,19.2,0.746,0.312,65.8171
Kentucky,17.5,0.347,45.2,0.535619469,11.6,12.2,17.6,15.1,0.726,0.377,67.3275
La Salle,23.9,0.319,36,0.476944444,13.1,11.6,15,18.2,0.687,0.289,67.111
Lafayette,26.7,0.328,31.6,0.519936709,11,11.5,12.5,15.4,0.684,0.229,64.615
Lamar,17.5,0.299,39.5,0.447088608,14.6,12,14.9,21.3,0.688,0.302,65.9662
Lehigh,21.3,0.382,34.4,0.4875,13.3,10.2,14.3,18.7,0.741,0.211,67.9706
Liberty,27,0.382,27.6,0.561594203,11.6,11.6,15.2,16.7,0.756,0.23,65.2022
Lipscomb,23.5,0.344,32.9,0.538297872,12.9,10,19.8,14.7,0.729,0.231,69.0794
Little Rock,20.9,0.337,34.2,0.475438596,13.8,14.4,17.9,16.8,0.735,0.246,66.6397
Long Beach State,18.6,0.346,39.8,0.478643216,13.2,14.5,22.5,16.3,0.729,0.278,70.6553
Long Island University,25.3,0.314,37.9,0.505804749,13.6,13.7,18.8,18.7,0.68,0.304,72.2798
Longwood,21.6,0.378,36.9,0.497289973,12.1,14.2,20.2,14,0.726,0.342,66.0454
Louisiana,21.3,0.346,36.5,0.475342466,15.4,13.1,20.3,20.1,0.703,0.333,69.5053
Louisiana State,20.5,0.316,38.5,0.504675325,14.7,17.8,19.7,20.6,0.731,0.339,68.6446
Louisiana Tech,24.3,0.34,34.6,0.53583815,11.5,13.6,18.5,15.8,0.725,0.265,68.3816
Louisiana-Monroe,20.9,0.338,38.7,0.517829457,12.7,14.1,15.5,19.3,0.724,0.258,67.6392
Louisville,24.8,0.309,34,0.503235294,12.2,11.1,14.8,17.3,0.674,0.273,66.9622
Loyola (IL),23.4,0.379,31,0.549032258,12.2,13.5,17,15.3,0.712,0.251,64.5889
Loyola (MD),21.6,0.319,34.7,0.518731988,13,14,13.8,16,0.684,0.247,64.4474
Loyola Marymount,21,0.345,33.5,0.524179104,13.3,12.6,17.4,17.5,0.719,0.247,65.7771
Maine,22,0.308,35,0.481142857,12.6,12.9,11.9,17.9,0.71,0.25,66.1268
Manhattan,18.3,0.307,37,0.504594595,14.5,14.5,22.5,19.7,0.735,0.302,68.4918
Marist,21.8,0.344,36.1,0.495844875,12.4,11.4,14.5,16.5,0.719,0.264,66.0826
Marquette,25,0.344,34.8,0.526149425,12.4,13.7,15.7,18.4,0.741,0.225,70.6644
Marshall,25.2,0.301,38.6,0.523834197,13.1,13.3,15.2,16.8,0.705,0.278,72.1975
Maryland,21.2,0.326,35.8,0.496927374,11.4,10.9,19.3,14.7,0.759,0.273,66.4997
Maryland-Baltimore County,24.3,0.378,33,0.491212121,11,11.5,17.5,12,0.784,0.219,68.209
Maryland-Eastern Shore,24.6,0.314,33.3,0.47027027,15.4,17.4,17.7,19,0.644,0.294,67.5
Massachusetts,25.6,0.371,33.8,0.479289941,11.6,12.6,19.5,17.3,0.758,0.293,68.9418
Massachusetts-Lowell,19.3,0.306,40.9,0.511002445,12.5,13.9,15.9,17.2,0.702,0.295,67.3295
McNeese State,20.6,0.313,42.2,0.517772512,16.2,14.8,23,22.6,0.659,0.361,69.5536
Memphis,17.5,0.355,39.9,0.518546366,16,14.5,21.7,19.5,0.694,0.374,70.2976
Mercer,23.2,0.351,31.7,0.535646688,12.4,11.1,15.8,15.8,0.77,0.253,64.6032
Merrimack,21.6,0.331,31.7,0.48170347,11.8,14.9,14,17.7,0.675,0.222,62.0756
Miami (FL),20.5,0.339,37.2,0.547043011,9.51,13.9,16.6,14.3,0.742,0.224,67.2783
Miami (OH),26.4,0.346,35.5,0.509014085,10.4,12.5,14.9,17.4,0.787,0.272,67.6204
Michigan,18.5,0.339,39.1,0.527877238,11.6,9.94,16.9,15,0.746,0.31,66.285
Michigan State,19.3,0.378,37.9,0.496569921,12.8,10.4,17.1,16.8,0.75,0.307,67.5067
Middle Tennessee,24.7,0.33,33.1,0.53897281,12.9,14.7,19.4,19.8,0.756,0.303,67.4582
Milwaukee,19.6,0.317,36.8,0.477717391,13.2,10.2,15.3,17.6,0.717,0.259,66.7823
Minnesota,21.2,0.368,35.4,0.480225989,9.2,10.4,13.4,13.6,0.718,0.175,65.004
Mississippi,21.3,0.326,35.7,0.500280112,12.2,13.1,16.3,15.7,0.711,0.267,65.0824
Mississippi State,15.6,0.295,40,0.517,13.1,13.1,21.2,15.6,0.721,0.341,65.4602
Mississippi Valley State,23.3,0.305,38.2,0.436910995,13.4,15.3,19.3,21.7,0.655,0.233,70.6686
Missouri,18.5,0.281,37.7,0.496551724,14.4,12.3,16.8,19.8,0.736,0.32,65.5121
Missouri State,22.2,0.374,36,0.549444444,10.6,10.7,16.1,16.2,0.797,0.251,66.8186
Monmouth,19.2,0.331,37.1,0.464959569,11.7,12,20.8,19.1,0.728,0.294,66.0572
Montana,20,0.349,34.8,0.511494253,10.3,13.2,19.8,20.6,0.785,0.195,65.1596
Montana State,20.8,0.368,35,0.535428571,12.9,12.9,21.4,19.6,0.754,0.273,67.294
Morehead State,23.1,0.36,32.9,0.52218845,13.5,12.1,15.9,13.6,0.667,0.312,64.67
Morgan State,19.6,0.313,43.4,0.492165899,15.4,19.2,20.4,23.2,0.677,0.314,71.6881
Mount St. Mary's,17.2,0.345,39.2,0.486479592,12.9,12.3,14.8,14.6,0.688,0.314,63.2161
Murray State,22.8,0.351,37.7,0.551724138,11.4,13.9,19.6,14.8,0.692,0.358,65.7834
Navy,17.7,0.326,38.3,0.479112272,12.9,13.5,16.9,16.4,0.655,0.337,64.586
NC State,24.5,0.341,37.9,0.460686016,10,12.7,18.2,17.3,0.725,0.302,66.8886
Nebraska,21.9,0.32,36.7,0.517711172,12.6,13.4,19.5,18.6,0.731,0.205,71.0448
Nevada,20.9,0.333,36.7,0.515803815,13.2,13,18.5,17,0.749,0.245,70.1106
Nevada-Las Vegas,24.5,0.336,33.1,0.488821752,11.2,11.5,17.3,17.1,0.738,0.271,66.1628
New Hampshire,23.6,0.366,33.7,0.491394659,9.07,9.46,14.5,13.8,0.669,0.288,62.1765
New Mexico,22.6,0.344,37.4,0.489839572,11.7,13.2,19.1,20.2,0.75,0.238,70.8954
New Mexico State,23.9,0.33,32.4,0.54691358,14.1,11.9,19.2,16,0.702,0.33,66.1724
