School,3PTA,3PT%,2PTA,2PT%,Steals,ORB%,AdjT
Abilene Christian,20.4,0.344,39.6,0.506818182,8.8,0.286,69.2174
Air Force,22.9,0.356,28.2,0.54751773,5.75,0.223,63.1849
Akron,25.6,0.355,31.9,0.517554859,6.03,0.299,65.3479
Alabama,29.5,0.335,33,0.536666667,6.05,0.342,72.7469
Alabama A&M,18.5,0.37,38.1,0.473753281,8,0.3,68.3055
Alabama State,19.5,0.306,39.2,0.408928571,5.87,0.324,66.0089
Albany (NY),23.4,0.327,33.2,0.47439759,5.74,0.288,67.3381
Alcorn State,17.3,0.296,41.1,0.454257908,8.03,0.337,67.2967
American,18.4,0.346,32.5,0.557538462,7.44,0.283,62.5744
Appalachian State,22.7,0.335,35.2,0.511647727,6.38,0.258,64.9924
Arizona,22.3,0.378,36.9,0.562872629,6.09,0.307,72.3118
Arizona State,23.6,0.322,36.5,0.484657534,7.08,0.292,68.4035
Arkansas,15.9,0.313,41.4,0.524879227,8.39,0.307,69.6808
Arkansas State,18,0.352,36.5,0.470410959,6.67,0.29,63.4103
Arkansas-Pine Bluff,25,0.316,32.8,0.448170732,8.06,0.272,69.6298
Army,21.8,0.351,34.4,0.556976744,5.09,0.275,68.5704
Auburn,20.6,0.315,38,0.505263158,7.74,0.328,67.6112
Austin Peay,22.3,0.322,35.4,0.475706215,7.1,0.28,64.8002
Ball State,20.3,0.369,35.5,0.529577465,5.5,0.312,67.552
Baylor,25.8,0.368,31.8,0.51572327,6.56,0.344,66.551
Bellarmine,22.8,0.351,29.9,0.54180602,5.58,0.221,62.1799
Belmont,24.7,0.388,34.7,0.533429395,7.03,0.252,68.3948
Bethune-Cookman,18.9,0.361,39.3,0.439185751,7.22,0.276,69.001
Binghamton,17.2,0.323,39.7,0.505037783,4.65,0.29,66.0525
Boise State,21.6,0.362,35.4,0.508757062,5.03,0.274,66.5002
Boston College,17.9,0.319,38.9,0.491002571,6.36,0.275,66.575
Boston University,22.6,0.33,35.1,0.466096866,6.41,0.286,65.4502
Bowling Green State,21.2,0.34,38.8,0.512113402,6.06,0.296,69.6647
Bradley,22.2,0.355,34.6,0.529190751,6.8,0.292,65.2197
Brigham Young,23.9,0.34,35.2,0.533522727,7.38,0.318,69.5993
Brown,23,0.347,34.7,0.498559078,7.19,0.253,69.3412
Bryant,23.8,0.34,36.9,0.547425474,6.67,0.301,72.0417
Bucknell,20.6,0.356,34.1,0.514956012,5.5,0.258,66.8207
Buffalo,21.8,0.322,40.7,0.523341523,7.94,0.319,72.2014
Butler,19.8,0.327,35.4,0.498022599,6.75,0.199,65.5365
Cal Poly,18.6,0.294,33.9,0.478466077,5.48,0.258,64.1768
Cal State Bakersfield,13.2,0.325,40.4,0.443069307,6.21,0.286,63.2238
Cal State Fullerton,20.8,0.369,34.1,0.467155425,6.48,0.269,64.8285
Cal State Northridge,18,0.32,36.2,0.440607735,6.28,0.28,65.335
California,16.4,0.298,36.5,0.433424658,4.72,0.253,63.5219
California Baptist,25.4,0.33,32.1,0.505919003,4.42,0.304,64.1085
Campbell,20.1,0.334,32.2,0.549378882,6.24,0.253,64.331
Canisius,24.5,0.347,35.8,0.472067039,5.6,0.288,67.7261
Central Arkansas,26.4,0.323,37.7,0.474270557,6.52,0.284,72.2512
Central Connecticut State,20.9,0.327,37.7,0.473740053,5.59,0.285,64.3965
Central Florida,24.6,0.353,33.6,0.482738095,7.68,0.336,64.4802
Central Michigan,20.5,0.3,34,0.483529412,5.84,0.312,67.2211
Charleston Southern,23.6,0.343,36.1,0.506925208,5.06,0.326,65.8656
Charlotte,21.4,0.377,30.6,0.539869281,5.53,0.223,60.4671
Chattanooga,30.2,0.377,28.1,0.533807829,5.71,0.28,68.4938
Chicago State,24.4,0.339,32.3,0.502786378,5.65,0.342,64.365
Cincinnati,24.8,0.351,38.6,0.50984456,6.28,0.309,68.5349
Clemson,22.8,0.364,33.8,0.535798817,5.15,0.234,68.1594
Cleveland State,16.6,0.307,43.7,0.510526316,6.91,0.351,65.9837
Coastal Carolina,22.7,0.316,37.9,0.504221636,6.06,0.316,68.429
Colgate,20.3,0.403,37.9,0.570712401,7.09,0.255,67.8783
College of Charleston,30,0.331,32.9,0.530699088,7.4,0.352,70.9567
Colorado,20.3,0.322,38.5,0.492467532,7.46,0.308,68.9923
Colorado State,20.9,0.364,33.3,0.567267267,5.67,0.199,66.1486
Columbia,24.6,0.317,35,0.463142857,6.76,0.27,69.5359
Connecticut,24.9,0.363,34.9,0.534383954,6.28,0.384,66.6901
Coppin State,24.8,0.338,31.1,0.511897106,7.69,0.186,71.5253
Cornell,30.4,0.353,31.7,0.58044164,9.71,0.295,71.2653
Creighton,24.4,0.354,34.1,0.550733138,5,0.253,67.9808
Dartmouth,24.5,0.333,33.6,0.522619048,5.46,0.242,68.7968
Davidson,20.8,0.325,34.6,0.51300578,5.38,0.248,65.1077
Dayton,19.6,0.338,32.9,0.543465046,4.79,0.308,62.3832
Delaware,20.6,0.321,35.7,0.506722689,6.91,0.253,67.1632
Delaware State,18.1,0.315,39.4,0.459390863,6.97,0.307,67.9235
Denver,13.8,0.326,39.8,0.542713568,5.53,0.298,68.5813
DePaul,22.5,0.368,36.9,0.464227642,6.39,0.258,68.7921
Detroit Mercy,26.5,0.386,34.8,0.468390805,6.12,0.359,67.2638
Drake,21.5,0.37,36.6,0.526229508,5.34,0.243,66.4238
Drexel,22.7,0.316,33.4,0.510179641,5.63,0.302,63.6711
Duke,20.3,0.335,37.3,0.514477212,5.67,0.359,65.258
Duquesne,25,0.366,37.2,0.485215054,8.06,0.334,68.2369
East Carolina,23.9,0.316,33.6,0.46875,6.48,0.33,67.4662
East Tennessee State,19.8,0.321,36.9,0.524661247,6.09,0.315,65.8108
Eastern Illinois,15.9,0.329,42.2,0.48507109,8.39,0.258,67.9748
Eastern Kentucky,25.1,0.343,42.1,0.501425178,8,0.341,70.178
Eastern Michigan,19.6,0.316,39.3,0.501526718,6.26,0.25,69.2119
Eastern Washington,24.6,0.358,31.3,0.593610224,5.18,0.292,68.4619
Elon,22.6,0.302,33.4,0.508682635,6.13,0.257,65.983
Evansville,19.3,0.322,38.2,0.434031414,7,0.207,69.6192
Fairfield,20,0.287,34.2,0.484210526,5.48,0.288,65.0804
FDU,23.7,0.345,38.8,0.516494845,7.97,0.319,68.7636
Florida,21.2,0.314,36.5,0.507671233,6.82,0.238,69.4161
Florida A&M,18.4,0.313,34.6,0.426011561,6.59,0.293,65.0733
Florida Atlantic,26.3,0.366,33.3,0.545945946,6.46,0.316,68.4356
Florida Gulf Coast,26,0.355,31.6,0.505696203,6.84,0.272,66.3494
Florida International,21,0.326,37.2,0.544623656,9.06,0.255,70.1207
Florida State,19.8,0.33,37.7,0.492572944,6.16,0.259,68.7389
Fordham,24,0.318,33.6,0.492857143,7.21,0.299,69.7048
Fresno State,22,0.308,32,0.5134375,6.32,0.249,64.282
